frame_index,var_of_laplacian
1924,429.213
1925,416.640
1926,552.860
1927,672.795
1928,693.871
1929,650.024
1930,715.624
1931,711.210
1932,711.986
1933,752.261
1934,679.350
1935,757.533
1936,711.881
1937,706.048
1938,703.296
1939,674.407
1940,614.445
1941,618.170
1942,593.685
1943,562.248
1944,537.798
1945,357.907
1946,410.463
1947,297.682
1948,264.573
1949,244.973
1950,217.966
1951,208.489
1952,229.788
1953,253.540
1954,316.336
1955,443.131
1956,531.587
1957,581.744
1958,567.292
1959,603.831
1960,554.110
1961,566.891
1962,585.567
1963,511.986
1964,423.145
1965,410.696
1966,400.349
1967,362.833
1968,293.315
1969,240.378
1970,208.209
1971,204.285
1972,202.600
1973,197.048
1974,208.382
1975,202.626
1976,205.905
1977,230.320
1978,214.118
1979,212.166
1980,212.923
1981,180.190
1982,163.340
1983,165.380
1984,166.535
1985,131.590
1986,156.523
1987,105.785
1988,94.652
1989,101.350
1990,99.684
1991,90.748
1992,90.914
1993,89.308
1994,85.665
1995,91.531
1996,97.088
1997,116.032
1998,166.057
1999,158.845
2000,146.179
2001,158.867
2002,135.279
2003,136.811
2004,149.642
2005,167.039
2006,179.685
2007,187.610
2008,150.018
2009,202.457
2010,195.126
2011,153.832
2012,206.462
2013,183.463
2014,187.430
2015,105.543
2016,107.006
2017,76.001
2018,74.493
2019,66.018
2020,59.558
2021,67.182
2022,64.889
2023,73.704
2024,86.498
2025,97.090
2026,95.338
2027,115.896
2028,122.997
2029,120.268
2030,121.982
2031,125.096
2032,119.661
2033,175.107
2034,177.834
2035,143.070
2036,110.382
2037,124.441
2038,103.020
2039,91.989
2040,95.097
2041,99.548
2042,110.257
2043,100.860
2044,103.596
2045,118.040
2046,115.156
2047,111.608
2048,125.112
2049,123.800
2050,121.531
2051,125.026
2052,134.991
2053,138.001
2054,150.787
2055,177.526
2056,207.555
2057,246.639
2058,298.045
2059,293.426
2060,254.502
2061,220.659
2062,181.766
2063,153.090
2064,129.531
2065,116.022
2066,119.844
2067,117.097
2068,129.715
2069,155.274
2070,184.597
2071,311.822
2072,388.983
2073,408.662
2074,511.420
2075,614.319
2076,670.201
2077,787.346
2078,797.705
2079,826.300
2080,760.240
2081,790.069
2082,696.417
2083,656.727
2084,551.161
2085,541.310
2086,475.086
2087,325.832
2088,475.421
2089,334.552
2090,393.804
2091,368.529
2092,505.309
2093,369.734
2094,433.096
2095,460.918
2096,524.918
